-0.404,0.548,0.608,-17.263,1.22,1.83
-0.474,0.579,0.499,-11.651,56.852,7.32
-0.508,0.599,0.446,-8.723,84.912,10.187
-0.509,0.601,0.407,-9.699,91.866,11.895
-0.51,0.59,0.41,-12.688,84.973,13.481
-0.521,0.562,0.487,-17.141,73.444,12.444
-0.472,0.513,0.601,-22.265,62.83,11.468
-0.449,0.474,0.658,-26.047,58.743,12.139
-0.489,0.492,0.63,-27.023,68.32,13.664
-0.545,0.532,0.566,-24.278,86.681,15.372
-0.599,0.552,0.524,-19.093,101.931,16.592
-0.63,0.556,0.525,-16.531,106.506,17.08
-0.599,0.566,0.53,-15.799,98.21,16.653
-0.586,0.554,0.531,-13.42,76.677,15.677
-0.639,0.516,0.55,-11.834,52.033,14.091
-0.691,0.493,0.553,-11.041,28.182,11.895
-0.787,0.481,0.556,-8.784,5.124,10.187
-0.886,0.476,0.555,-5.185,-14.701,10.553
-0.907,0.472,0.571,-2.684,-35.014,12.566
-0.865,0.469,0.599,-1.22,-54.778,14.823
-0.802,0.474,0.602,0.061,-68.747,16.104
-0.739,0.48,0.573,1.22,-73.871,16.531
-0.672,0.489,0.588,2.44,-68.808,17.141
-0.626,0.492,0.6,2.989,-54.9,18.3
-0.612,0.491,0.581,4.331,-36.234,19.581
-0.623,0.497,0.529,5.917,-19.52,19.52
-0.643,0.518,0.527,7.381,-9.699,19.703
-0.687,0.529,0.574,8.662,-5.978,20.618
-0.751,0.509,0.624,9.882,-5.429,20.374
-0.766,0.471,0.674,10.797,-5.49,17.751
-0.737,0.451,0.713,11.712,-6.1,13.725
-0.705,0.481,0.734,13.908,0.549,10.431
-0.68,0.529,0.713,17.812,18.727,9.394
-0.635,0.558,0.65,22.082,44.164,10.37
-0.589,0.578,0.613,25.62,72.59,12.383
-0.602,0.585,0.568,27.816,99.796,15.189
-0.612,0.593,0.509,31.11,122.915,15.555
-0.271,0.596,0.414,-26.047,-297.314,-15.372
-0.183,0.61,0.419,-26.23,-275.415,-17.202
-0.127,0.612,0.456,-24.156,-243.39,-18.3
-0.042,0.588,0.583,-22.204,-199.409,-16.104
0.066,0.529,0.758,-20.374,-139.446,-10.492
0.106,0.485,0.865,-18.178,-67.283,-1.952
0.03,0.489,0.883,-14.945,5.917,4.392
-0.081,0.507,0.822,-12.444,67.527,6.771
-0.2,0.523,0.737,-12.383,108.519,7.503
-0.312,0.54,0.644,-12.871,131.455,8.723
-0.409,0.563,0.558,-14.762,137.799,11.224
-0.485,0.576,0.493,-18.117,130.662,14.213
-0.503,0.564,0.502,-20.435,118.157,17.934
-0.489,0.552,0.549,-21.899,108.58,21.472
-0.485,0.553,0.59,-21.655,102.785,23.729
-0.488,0.565,0.612,-18.788,99.979,23.79
-0.483,0.575,0.613,-17.385,97.844,23.241
-0.469,0.581,0.615,-16.836,96.258,21.594
-0.486,0.579,0.608,-16.897,92.293,19.032
-0.51,0.584,0.57,-17.141,84.241,16.592
-0.503,0.595,0.562,-16.47,73.2,14.152
-0.462,0.588,0.597,-16.287,62.647,12.261
-0.444,0.555,0.617,-15.555,55.388,10.309
-0.473,0.543,0.619,-13.603,47.153,9.394
-0.603,0.527,0.618,-12.078,35.197,8.906
-0.715,0.502,0.616,-8.479,23.485,10.553
-0.774,0.506,0.632,-3.904,5.551,11.407
-0.825,0.505,0.635,-1.098,-18.666,10.309
-0.841,0.508,0.627,0.915,-43.676,11.956
-0.793,0.509,0.648,2.074,-63.135,14.579
-0.671,0.494,0.705,3.416,-68.015,15.555
-0.565,0.475,0.785,5.49,-57.34,14.762
-0.526,0.449,0.798,8.174,-36.356,13.847
-0.56,0.439,0.739,11.956,-13.237,11.712
-0.629,0.47,0.66,14.884,3.294,8.967
-0.711,0.509,0.605,14.152,10.004,7.137
-0.715,0.536,0.596,13.725,18.544,6.039
-0.716,0.527,0.606,12.81,31.537,2.501
-0.743,0.502,0.605,12.688,47.153,0.244
-0.772,0.518,0.616,14.396,62.403,0.122
-0.761,0.56,0.652,17.507,75.945,-0.915
-0.653,0.603,0.684,20.923,90.158,-2.257
-0.553,0.611,0.669,22.936,104.432,-2.867
-0.491,0.609,0.623,25.559,125.416,-2.623
-0.494,0.617,0.57,28.609,146.217,-4.331
-0.556,0.626,0.512,30.866,157.319,-7.442
-0.634,0.628,0.468,31.598,153.293,-9.882
-0.716,0.624,0.45,33.184,130.479,-13.603
-0.729,0.617,0.443,33.367,95.099,-18.178
-0.636,0.614,0.427,31.293,63.379,-22.021
-0.609,0.604,0.445,28.426,40.504,-26.84
-0.59,0.594,0.454,25.62,26.352,-30.988
-0.524,0.594,0.43,23.912,17.324,-32.818
-0.477,0.613,0.403,22.936,12.078,-31.842
-0.466,0.647,0.4,20.74,8.174,-28.914
-0.484,0.661,0.407,17.385,1.891,-26.779
-0.499,0.648,0.43,13.725,-7.442,-25.864
-0.491,0.639,0.449,9.943,-17.507,-24.827
-0.488,0.633,0.461,6.954,-27.511,-24.766
-0.494,0.623,0.481,3.599,-36.6,-25.071
-0.531,0.608,0.506,-1.342,-47.397,-25.193
-0.584,0.591,0.523,-6.039,-67.954,-24.095
-0.61,0.557,0.532,-10.187,-99.064,-23.973
-0.63,0.54,0.493,-13.359,-136.213,-23.363
-0.658,0.536,0.47,-15.677,-177.144,-21.777
-0.672,0.532,0.457,-17.69,-217.465,-22.265
-0.635,0.53,0.42,-20.74,-249.185,-22.387
-0.536,0.544,0.415,-24.339,-261.324,-19.032
-0.392,0.551,0.457,-27.145,-251.503,-13.969
-0.273,0.552,0.49,-26.352,-228.872,-10.98
-0.22,0.555,0.512,-22.692,-202.642,-8.906
-0.175,0.559,0.549,-18.605,-177.022,-4.636
-0.105,0.555,0.587,-16.348,-150.365,0.427
-0.046,0.542,0.621,-14.884,-120.048,5.368
-0.022,0.529,0.646,-13.298,-82.594,10.736
-0.046,0.518,0.655,-13.115,-38.979,14.396
-0.102,0.516,0.672,-13.298,6.527,15.921
-0.195,0.52,0.673,-14.396,48.8,16.104
-0.301,0.525,0.649,-15.189,85.339,17.446
-0.411,0.533,0.588,-15.921,113.094,20.374
-0.485,0.531,0.546,-16.409,129.076,26.108
-0.533,0.526,0.534,-15.982,129.442,33.184
-0.534,0.542,0.508,-15.799,118.767,38.491
-0.476,0.569,0.51,-16.714,106.079,39.894
-0.448,0.585,0.574,-19.947,96.319,37.149
-0.514,0.549,0.619,-23.18,91.805,30.805
-0.587,0.51,0.653,-22.265,93.879,25.986
-0.644,0.518,0.672,-19.459,92.842,25.01
-0.695,0.528,0.676,-17.324,86.254,27.511
-0.69,0.533,0.662,-14.335,76.555,30.988
-0.641,0.548,0.628,-11.468,63.135,33.672
-0.628,0.565,0.606,-8.967,46.055,33.062
-0.643,0.563,0.572,-8.479,21.35,30.195
-0.64,0.551,0.572,-8.723,-9.516,27.145
-0.638,0.535,0.604,-8.601,-34.465,25.193
-0.662,0.524,0.622,-8.296,-47.824,24.095
-0.685,0.508,0.663,-7.991,-48.556,22.692
-0.712,0.494,0.695,-8.113,-43.127,20.435
-0.752,0.475,0.722,-8.723,-38.857,17.019
-0.768,0.452,0.762,-8.357,-34.526,13.786
-0.764,0.428,0.785,-7.015,-31.964,9.394
-0.74,0.409,0.791,-3.904,-27.572,2.074
-0.761,0.398,0.769,-1.037,-21.838,-6.161
-0.774,0.394,0.755,3.355,-19.459,-12.627
-0.742,0.401,0.796,10.065,-22.448,-16.958
-0.677,0.422,0.821,16.47,-25.193,-18.056
-0.608,0.442,0.859,22.753,-18.666,-15.616
-0.561,0.458,0.896,27.999,4.88,-11.346
-0.579,0.468,0.872,31.903,39.894,-8.662
-0.618,0.488,0.818,36.173,76.982,-5.917
-0.613,0.527,0.77,40.26,109.129,-1.769
-0.575,0.567,0.724,44.164,134.078,1.159
-0.543,0.589,0.657,47.031,154.086,2.684
-0.509,0.604,0.575,47.275,168.543,1.891
-0.503,0.62,0.479,44.591,169.58,0.915
-0.499,0.628,0.404,42.456,155.489,2.745
-0.503,0.623,0.363,40.809,129.198,3.965
-0.541,0.625,0.357,38.796,94.916,2.928
-0.564,0.623,0.363,34.465,58.499,2.684
-0.545,0.622,0.368,28.121,24.766,1.769
-0.525,0.638,0.396,22.448,-2.074,0.793
-0.461,0.641,0.402,18.056,-16.348,1.891
-0.413,0.645,0.414,15.311,-20.618,1.342
-0.389,0.658,0.424,10.919,-20.74,0.305
-0.371,0.66,0.455,6.649,-22.448,-1.464
-0.36,0.649,0.507,2.806,-28.914,-3.233
-0.367,0.632,0.542,-1.525,-41.602,-3.111
-0.393,0.621,0.549,-5.185,-62.83,-3.233
-0.44,0.627,0.529,-7.93,-93.269,-5.002
-0.467,0.619,0.52,-9.333,-128.588,-8.113
-0.493,0.59,0.529,-11.651,-163.785,-10.98
-0.535,0.559,0.532,-15.799,-195.81,-12.383
-0.527,0.553,0.512,-19.215,-218.075,-11.224
-0.455,0.55,0.51,-22.509,-226.066,-9.943
-0.353,0.537,0.522,-25.376,-216.428,-9.272
-0.263,0.545,0.525,-26.474,-194.468,-7.991
-0.193,0.569,0.538,-24.278,-167.079,-7.503
-0.149,0.574,0.544,-23.485,-136.762,-8.296
-0.17,0.566,0.549,-22.753,-105.53,-9.028
-0.224,0.563,0.572,-22.509,-77.348,-8.723
-0.284,0.561,0.617,-22.936,-53.009,-8.418
-0.324,0.549,0.646,-23.546,-29.524,-6.344
-0.347,0.553,0.669,-23.973,-6.71,-3.172
-0.294,0.58,0.693,-23.973,19.154,-1.098
-0.164,0.589,0.677,-25.071,50.569,-2.013
-0.117,0.57,0.635,-27.511,86.254,0.183
-0.239,0.549,0.604,-28.792,121.329,7.381
-0.39,0.53,0.587,-28.548,145.363,14.335
-0.535,0.53,0.59,-27.938,150.304,15.372
-0.597,0.543,0.575,-27.084,145.18,16.836
-0.593,0.533,0.607,-25.01,135.725,17.385
-0.602,0.504,0.641,-21.472,121.756,17.019
-0.636,0.495,0.639,-17.385,103.09,18.788
-0.618,0.509,0.628,-12.627,84.424,21.411
-0.547,0.547,0.586,-9.821,64.416,21.838
-0.508,0.554,0.554,-8.601,45.079,20.679
